id,vertices
12,10.000000000000004;27.79999999999996;0.0;0.0;27.79999999999996;0.0;0.0;27.79999999999996;10.0;10.000000000000004;27.79999999999996;10.0
22,20.000000000000007;27.599999999999962;0.0;20.000000000000007;27.79999999999996;0.0;20.000000000000007;27.79999999999996;10.0;20.000000000000007;27.599999999999962;10.0;20.000000000000007;27.599999999999962;3.1999999999999997;20.000000000000007;27.599999999999962;2.9999999999999987
23,18.14941826616866;17.39999999999997;0.0;19.34941826616866;17.39999999999997;0.0;19.34941826616866;17.39999999999997;2.5;18.14941826616866;17.39999999999997;2.5
24,11.952856991855684;17.39999999999997;7.399999999999998;12.952856991855684;17.39999999999997;7.399999999999998;12.952856991855684;17.39999999999997;8.899999999999997;11.952856991855684;17.39999999999997;8.899999999999997
25,11.952856991855684;17.39999999999997;2.4999999999999996;11.952856991855684;17.39999999999997;0.9999999999999997;12.952856991855684;17.39999999999997;0.9999999999999997;12.952856991855684;17.39999999999997;2.4999999999999996
26,20.000000000000007;17.39999999999997;0.0;20.000000000000007;17.599999999999966;0.0;20.000000000000007;27.599999999999962;0.0;20.000000000000007;27.599999999999962;2.9999999999999987;20.000000000000007;27.599999999999962;3.1999999999999997;20.000000000000007;27.599999999999962;10.0;20.000000000000007;17.599999999999966;10.0;20.000000000000007;17.39999999999997;10.0
27,11.952856991855684;17.39999999999997;4.199999999999998;12.952856991855684;17.39999999999997;4.199999999999998;12.952856991855684;17.39999999999997;5.699999999999999;11.952856991855684;17.39999999999997;5.699999999999999
28,15.391574250545771;17.39999999999997;8.899999999999999;15.391574250545771;17.39999999999997;7.399999999999998;16.391574250545773;17.39999999999997;7.399999999999998;16.391574250545773;17.39999999999997;8.899999999999999
29,15.391574250545771;17.39999999999997;5.699999999999999;15.391574250545771;17.39999999999997;4.199999999999998;16.391574250545773;17.39999999999997;4.199999999999998;16.391574250545773;17.39999999999997;5.699999999999999
33,20.000000000000007;27.79999999999996;0.0;10.000000000000004;27.79999999999996;0.0;10.000000000000004;27.79999999999996;10.0;20.000000000000007;27.79999999999996;10.0
42,-8.047143008144321;17.39999999999997;4.199999999999998;-7.047143008144321;17.39999999999997;4.199999999999998;-7.047143008144321;17.39999999999997;5.699999999999999;-8.047143008144321;17.39999999999997;5.699999999999999
43,-10.000000000000007;22.599999999999962;10.0;-10.000000000000002;27.599999999999962;10.0;-10.000000000000002;27.79999999999996;10.0;-10.000000000000002;27.79999999999996;0.0;-10.000000000000002;27.599999999999962;0.0;-10.000000000000002;17.599999999999966;0.0;-10.000000000000002;17.39999999999997;0.0;-10.000000000000002;17.39999999999997;10.0;-10.000000000000002;17.599999999999966;10.0
44,-8.047143008144321;17.39999999999997;2.4999999999999996;-8.047143008144321;17.39999999999997;0.9999999999999997;-7.047143008144321;17.39999999999997;0.9999999999999997;-7.047143008144321;17.39999999999997;2.4999999999999996
45,-10.000000000000002;17.39999999999997;0.0;-1.8505817338313495;17.39999999999997;0.0;-1.8505817338313495;17.39999999999997;2.5;-0.6505817338313481;17.39999999999997;2.5;-0.6505817338313481;17.39999999999997;0.0;0.0;17.39999999999997;0.0;0.0;17.39999999999997;10.0;-10.000000000000002;17.39999999999997;10.0;-4.608425749454231;17.39999999999997;2.5;-3.6084257494542347;17.39999999999997;2.5;-3.6084257494542347;17.39999999999997;1.0;-4.608425749454231;17.39999999999997;1.0;-8.047143008144321;17.39999999999997;0.9999999999999997;-8.047143008144321;17.39999999999997;2.4999999999999996;-7.047143008144321;17.39999999999997;2.4999999999999996;-7.047143008144321;17.39999999999997;0.9999999999999997;-7.047143008144321;17.39999999999997;4.199999999999998;-8.047143008144321;17.39999999999997;4.199999999999998;-8.047143008144321;17.39999999999997;5.699999999999999;-7.047143008144321;17.39999999999997;5.699999999999999;-4.608425749454231;17.39999999999997;4.199999999999998;-4.608425749454231;17.39999999999997;5.699999999999999;-3.6084257494542347;17.39999999999997;5.699999999999999;-3.6084257494542347;17.39999999999997;4.199999999999998;-7.047143008144321;17.39999999999997;7.399999999999998;-8.047143008144321;17.39999999999997;7.399999999999998;-8.047143008144321;17.39999999999997;8.899999999999997;-7.047143008144321;17.39999999999997;8.899999999999997;-4.608425749454231;17.39999999999997;7.399999999999998;-4.608425749454231;17.39999999999997;8.899999999999999;-3.6084257494542347;17.39999999999997;8.899999999999999;-3.6084257494542347;17.39999999999997;7.399999999999998
50,-4.608425749454231;17.39999999999997;8.899999999999999;-4.608425749454231;17.39999999999997;7.399999999999998;-3.6084257494542347;17.39999999999997;7.399999999999998;-3.6084257494542347;17.39999999999997;8.899999999999999
51,0.0;27.79999999999996;0.0;-10.000000000000002;27.79999999999996;0.0;-10.000000000000002;27.79999999999996;10.0;0.0;27.79999999999996;10.0
54,-3.6084257494542347;17.39999999999997;2.5;-4.608425749454231;17.39999999999997;2.5;-4.608425749454231;17.39999999999997;1.0;-3.6084257494542347;17.39999999999997;1.0
55,-4.608425749454231;17.39999999999997;5.699999999999999;-4.608425749454231;17.39999999999997;4.199999999999998;-3.6084257494542347;17.39999999999997;4.199999999999998;-3.6084257494542347;17.39999999999997;5.699999999999999
56,-1.8505817338313495;17.39999999999997;0.0;-0.6505817338313481;17.39999999999997;0.0;-0.6505817338313481;17.39999999999997;2.5;-1.8505817338313495;17.39999999999997;2.5
57,-8.047143008144321;17.39999999999997;7.399999999999998;-7.047143008144321;17.39999999999997;7.399999999999998;-7.047143008144321;17.39999999999997;8.899999999999997;-8.047143008144321;17.39999999999997;8.899999999999997
59,1.850581733831324;10.399999999999974;0.0;0.650581733831389;10.399999999999922;0.0;0.650581733831389;10.399999999999922;2.5000000000000004;1.850581733831324;10.399999999999974;2.5000000000000004
60,3.6084257494543777;10.399999999999862;2.5000000000000004;4.608425749454439;10.39999999999995;2.5000000000000004;4.608425749454439;10.39999999999995;1.0;3.6084257494543777;10.399999999999862;1.0
61,8.047143008144538;10.399999999999858;4.200000000000001;7.0471430081443955;10.399999999999867;4.200000000000001;7.0471430081443955;10.399999999999867;5.7;8.047143008144538;10.399999999999858;5.7
62,8.047143008144538;10.399999999999858;2.5000000000000004;8.047143008144538;10.399999999999858;1.0;7.0471430081443955;10.399999999999867;1.0;7.0471430081443955;10.399999999999867;2.5000000000000004
63,8.047143008144538;10.399999999999858;7.400000000000004;7.0471430081443955;10.399999999999867;7.400000000000004;7.0471430081443955;10.399999999999867;8.900000000000002;8.047143008144538;10.399999999999858;8.900000000000002
64,4.608425749454439;10.39999999999995;8.900000000000002;4.608425749454439;10.39999999999995;7.400000000000004;3.6084257494543777;10.399999999999862;7.400000000000004;3.6084257494543777;10.399999999999862;8.900000000000002
65,-9.999999999999961;10.399999999999775;0.0;-9.999999999999948;10.199999999999884;0.0;-9.999999999999856;0.19999999999996462;0.0;-9.999999999999961;7.219114195322618e-15;0.0;-9.999999999999961;7.219114195322618e-15;10.000000000000005;-9.999999999999856;0.19999999999996462;10.000000000000005;-9.999999999999948;10.199999999999884;10.000000000000005;-9.999999999999961;10.399999999999775;10.000000000000005
66,-6.391574250545728;10.39999999999996;2.5000000000000004;-5.391574250545701;10.399999999999917;2.5000000000000004;-5.391574250545701;10.399999999999917;1.0;-6.391574250545728;10.39999999999996;1.0
69,-1.9528569918554053;10.399999999999894;7.400000000000004;-2.952856991855559;10.399999999999757;7.400000000000004;-2.952856991855559;10.399999999999757;8.900000000000002;-1.9528569918554053;10.399999999999894;8.900000000000002
70,4.608425749454439;10.39999999999995;5.7;4.608425749454439;10.39999999999995;4.200000000000001;3.6084257494543777;10.399999999999862;4.200000000000001;3.6084257494543777;10.399999999999862;5.7
73,-8.149418266168505;10.399999999999991;0.0;-9.349418266168623;10.399999999999803;0.0;-9.349418266168623;10.399999999999803;2.5000000000000004;-8.149418266168505;10.399999999999991;2.5000000000000004
74,-1.9528569918554053;10.399999999999894;2.5000000000000004;-1.9528569918554053;10.399999999999894;1.0;-2.952856991855559;10.399999999999757;1.0;-2.952856991855559;10.399999999999757;2.5000000000000004
75,-1.9528569918554053;10.399999999999894;4.200000000000001;-2.952856991855559;10.399999999999757;4.200000000000001;-2.952856991855559;10.399999999999757;5.7;-1.9528569918554053;10.399999999999894;5.7
76,-5.391574250545701;10.399999999999917;5.7;-5.391574250545701;10.399999999999917;4.200000000000001;-6.391574250545728;10.39999999999996;4.200000000000001;-6.391574250545728;10.39999999999996;5.7
78,-5.391574250545701;10.399999999999917;8.900000000000002;-5.391574250545701;10.399999999999917;7.400000000000004;-6.391574250545728;10.39999999999996;7.400000000000004;-6.391574250545728;10.39999999999996;8.900000000000002
79,-9.999999999999961;10.399999999999775;10.000000000000005;-9.999999999999948;10.199999999999884;10.000000000000005;1.4438228390645236e-13;10.199999999999985;10.000000000000005;1.3283170119393616e-13;10.399999999999878;10.000000000000005
81,1.3283170119393616e-13;10.399999999999878;0.0;-8.149418266168505;10.399999999999991;0.0;-8.149418266168505;10.399999999999991;2.5000000000000004;-9.349418266168623;10.399999999999803;2.5000000000000004;-9.349418266168623;10.399999999999803;0.0;-9.999999999999961;10.399999999999775;0.0;-9.999999999999961;10.399999999999775;10.000000000000005;1.3283170119393616e-13;10.399999999999878;10.000000000000005;-5.391574250545701;10.399999999999917;2.5000000000000004;-6.391574250545728;10.39999999999996;2.5000000000000004;-6.391574250545728;10.39999999999996;1.0;-5.391574250545701;10.399999999999917;1.0;-1.9528569918554053;10.399999999999894;1.0;-1.9528569918554053;10.399999999999894;2.5000000000000004;-2.952856991855559;10.399999999999757;2.5000000000000004;-2.952856991855559;10.399999999999757;1.0;-2.952856991855559;10.399999999999757;4.200000000000001;-1.9528569918554053;10.399999999999894;4.200000000000001;-1.9528569918554053;10.399999999999894;5.7;-2.952856991855559;10.399999999999757;5.7;-5.391574250545701;10.399999999999917;4.200000000000001;-5.391574250545701;10.399999999999917;5.7;-6.391574250545728;10.39999999999996;5.7;-6.391574250545728;10.39999999999996;4.200000000000001;-2.952856991855559;10.399999999999757;7.400000000000004;-1.9528569918554053;10.399999999999894;7.400000000000004;-1.9528569918554053;10.399999999999894;8.900000000000002;-2.952856991855559;10.399999999999757;8.900000000000002;-5.391574250545701;10.399999999999917;7.400000000000004;-5.391574250545701;10.399999999999917;8.900000000000002;-6.391574250545728;10.39999999999996;8.900000000000002;-6.391574250545728;10.39999999999996;7.400000000000004
86,9.999999999999972;10.399999999999853;0.0;1.850581733831324;10.399999999999974;0.0;1.850581733831324;10.399999999999974;2.5000000000000004;0.650581733831389;10.399999999999922;2.5000000000000004;0.650581733831389;10.399999999999922;0.0;1.3283170119393616e-13;10.399999999999878;0.0;1.3283170119393616e-13;10.399999999999878;10.000000000000005;9.999999999999972;10.399999999999853;10.000000000000005;4.608425749454439;10.39999999999995;2.5000000000000004;3.6084257494543777;10.399999999999862;2.5000000000000004;3.6084257494543777;10.399999999999862;1.0;4.608425749454439;10.39999999999995;1.0;8.047143008144538;10.399999999999858;1.0;8.047143008144538;10.399999999999858;2.5000000000000004;7.0471430081443955;10.399999999999867;2.5000000000000004;7.0471430081443955;10.399999999999867;1.0;7.0471430081443955;10.399999999999867;4.200000000000001;8.047143008144538;10.399999999999858;4.200000000000001;8.047143008144538;10.399999999999858;5.7;7.0471430081443955;10.399999999999867;5.7;4.608425749454439;10.39999999999995;4.200000000000001;4.608425749454439;10.39999999999995;5.7;3.6084257494543777;10.399999999999862;5.7;3.6084257494543777;10.399999999999862;4.200000000000001;7.0471430081443955;10.399999999999867;7.400000000000004;8.047143008144538;10.399999999999858;7.400000000000004;8.047143008144538;10.399999999999858;8.900000000000002;7.0471430081443955;10.399999999999867;8.900000000000002;4.608425749454439;10.39999999999995;7.400000000000004;4.608425749454439;10.39999999999995;8.900000000000002;3.6084257494543777;10.399999999999862;8.900000000000002;3.6084257494543777;10.399999999999862;7.400000000000004
92,18.04714300814432;10.399999999999917;4.200000000000001;17.047143008144154;10.399999999999945;4.200000000000001;17.047143008144154;10.399999999999945;5.7;18.04714300814432;10.399999999999917;5.7
93,18.04714300814432;10.399999999999917;2.5000000000000004;18.04714300814432;10.399999999999917;1.0;17.047143008144154;10.399999999999945;1.0;17.047143008144154;10.399999999999945;2.5000000000000004
95,20.000000000000007;10.399999999999968;0.0;11.850581733831522;10.399999999999919;0.0;11.850581733831522;10.399999999999919;2.5000000000000004;10.650581733831437;10.399999999999789;2.5000000000000004;10.650581733831437;10.399999999999789;0.0;9.999999999999972;10.399999999999853;0.0;9.999999999999972;10.399999999999853;10.000000000000005;20.000000000000007;10.399999999999968;10.000000000000005;14.608425749454174;10.399999999999979;2.5000000000000004;13.608425749454216;10.399999999999876;2.5000000000000004;13.608425749454216;10.399999999999876;1.0;14.608425749454174;10.399999999999979;1.0;18.04714300814432;10.399999999999917;1.0;18.04714300814432;10.399999999999917;2.5000000000000004;17.047143008144154;10.399999999999945;2.5000000000000004;17.047143008144154;10.399999999999945;1.0;17.047143008144154;10.399999999999945;4.200000000000001;18.04714300814432;10.399999999999917;4.200000000000001;18.04714300814432;10.399999999999917;5.7;17.047143008144154;10.399999999999945;5.7;14.608425749454174;10.399999999999979;4.200000000000001;14.608425749454174;10.399999999999979;5.7;13.608425749454216;10.399999999999876;5.7;13.608425749454216;10.399999999999876;4.200000000000001;17.047143008144154;10.399999999999945;7.400000000000004;18.04714300814432;10.399999999999917;7.400000000000004;18.04714300814432;10.399999999999917;8.900000000000002;17.047143008144154;10.399999999999945;8.900000000000002;14.608425749454174;10.399999999999979;7.400000000000004;14.608425749454174;10.399999999999979;8.900000000000002;13.608425749454216;10.399999999999876;8.900000000000002;13.608425749454216;10.399999999999876;7.400000000000004
99,14.608425749454174;10.399999999999979;5.7;14.608425749454174;10.399999999999979;4.200000000000001;13.608425749454216;10.399999999999876;4.200000000000001;13.608425749454216;10.399999999999876;5.7
101,11.850581733831522;10.399999999999919;0.0;10.650581733831437;10.399999999999789;0.0;10.650581733831437;10.399999999999789;2.5000000000000004;11.850581733831522;10.399999999999919;2.5000000000000004
104,20.000000000000078;-2.45449882640969e-14;0.0;20.000000000000114;0.1999999999999502;0.0;19.999999999999904;10.19999999999983;0.0;20.000000000000007;10.399999999999968;0.0;20.000000000000007;10.399999999999968;10.000000000000005;19.999999999999904;10.19999999999983;10.000000000000005;20.000000000000114;0.1999999999999502;10.000000000000005;20.000000000000078;-2.45449882640969e-14;10.000000000000005
105,13.608425749454216;10.399999999999876;2.5000000000000004;14.608425749454174;10.399999999999979;2.5000000000000004;14.608425749454174;10.399999999999979;1.0;13.608425749454216;10.399999999999876;1.0
106,14.608425749454174;10.399999999999979;8.900000000000002;14.608425749454174;10.399999999999979;7.400000000000004;13.608425749454216;10.399999999999876;7.400000000000004;13.608425749454216;10.399999999999876;8.900000000000002
108,10.000000000000004;0.0;0.0;20.000000000000078;-2.45449882640969e-14;0.0;20.000000000000078;-2.45449882640969e-14;10.000000000000005;10.000000000000261;-1.2561258699861355e-13;10.000000000000005
111,18.04714300814432;10.399999999999917;7.400000000000004;17.047143008144154;10.399999999999945;7.400000000000004;17.047143008144154;10.399999999999945;8.900000000000002;18.04714300814432;10.399999999999917;8.900000000000002
113,11.850581733831522;10.399999999999919;0.0;20.000000000000007;10.399999999999968;0.0;20.000000000000007;17.39999999999997;0.0;19.34941826616866;17.39999999999997;0.0;18.14941826616866;17.39999999999997;0.0;10.000000000000004;17.39999999999997;0.0;9.349418266168655;17.39999999999997;0.0;8.149418266168654;17.39999999999997;0.0;0.0;17.39999999999997;0.0;-0.6505817338313481;17.39999999999997;0.0;-1.8505817338313495;17.39999999999997;0.0;-10.000000000000002;17.39999999999997;0.0;-9.999999999999961;10.399999999999775;0.0;-9.349418266168623;10.399999999999803;0.0;-8.149418266168505;10.399999999999991;0.0;1.3283170119393616e-13;10.399999999999878;0.0;0.650581733831389;10.399999999999922;0.0;1.850581733831324;10.399999999999974;0.0;9.999999999999972;10.399999999999853;0.0;10.650581733831437;10.399999999999789;0.0
